Accrued Expense,Adopted,Agency,Budget Code,Budget Name,Cash Expense,Committed,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0.00,40851004.00,Department of Education,4305,INSTRUCTIONAL SUPPORT SERV - ELEM / MID,51389011.75,51389011.75,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL YEAR POSITIONS,56611020.00,0.00,0.00,2023
0.00,26999447.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,47362213.44,47456724.69,CATEGORICAL PROGRAMS - OTPS,0.00,PROF SERV DIRECT EDUC SERV,56234239.00,94511.25,0.00,2023
1330259.19,49010229.00,Department of Youth and Community Development,3557,Youth Program at NYCHA,56094284.81,57424544.00,OTHER THAN PERSONAL SERVICES,0.00,EDUCATION & REC FOR YOUTH PRGM,55735681.00,0.00,0.00,2023
0.00,54690744.00,Department of Education,0993,PPL,54690744.00,54690744.00,FRINGE BENEFITS - PS,0.00,SUPPLEMENTAL EMPLOYEE WELF BEN,54690744.00,0.00,0.00,2023
0.00,54029292.00,Department of Education,1451,CITYWIDE,29834879.57,29834879.57,ENERGY AND LEASES - OTPS,0.00,RENTALS - LAND BLDGS & STRUCTS,54029292.00,0.00,0.00,2023
0.00,53468856.00,Department of Education,A481,ARPA for Schools,18701878.00,18701878.00,CATEGORICAL PROGRAMS - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,53468856.00,0.00,0.00,2023
0.00,53312008.00,Department of Education,5511,NURSES,45591727.77,45591727.77,SE INSTRUCTIONAL SUPPORT - PS,0.00,FULL YEAR POSITIONS,53312008.00,0.00,0.00,2023
389822.94,51600000.00,Department of Education,A481,ARPA for Schools,5375276.35,5765099.29,CATEGORICAL PROGRAMS - OTPS,0.00,PROF SERV OTHER,51600000.00,0.00,0.00,2023
0.00,51583862.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,15867969.24,15867969.24,CATEGORICAL PROGRAMS - OTPS,0.00,PROF SERV DIRECT EDUC SERV,51583862.00,0.00,0.00,2023
0.00,51419808.00,Department of Education,4315,NYSTL - ELEMENTARY / MIDDLE,30125073.23,30125073.23,GE INSTR & SCH LEADERSHIP - OTPS,0.00,BOOKS-OTHER,51419808.00,0.00,0.00,2023
0.00,51323310.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,6108928.10,6108928.10,GE INSTR & SCH LEADERSHIP - PS,0.00,PARAPROFESSIONAL PER SESSION,51323310.00,0.00,0.00,2023
0.00,50000000.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,65518504.78,65518504.78,CATEGORICAL PROGRAMS - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,50000000.00,0.00,0.00,2023
0.00,45684539.00,Department of Education,7719,DIIT,58440702.10,58440702.10,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,49070388.00,0.00,0.00,2023
12422387.31,50032439.00,Department of Youth and Community Development,3625,TAX LEVY ELECTED OFFICIALS,35131498.69,47553886.00,OTHER THAN PERSONAL SERVICES,0.00,EDUCATION & REC FOR YOUTH PRGM,48445965.00,0.00,0.00,2023
0.00,48015543.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,26329356.27,26329356.27,CATEGORICAL PROGRAMS - PS,0.00,SOCIAL SECURITY CONTRIBUTIONS,48015543.00,0.00,0.00,2023
276596.76,0.00,Department of Education,C435,CRRSA for Facilities,47820742.62,48103606.44,SCHOOL FACILITIES - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,47351901.00,6267.06,0.00,2023
0.00,44478901.00,Department of Education,1733,SKILLED TRADES,33230632.15,33230632.15,SCHOOL FACILITIES - PS,0.00,FULL YEAR POSITIONS,46947036.00,0.00,0.00,2023
32315088.71,46485544.00,Department of Education,A470,ARPA for SE Prek,23559855.64,55874944.35,SE PRE-K CONTRACT PMTS - OTPS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,46485544.00,0.00,0.00,2023
0.00,59000000.00,Department of Education,2123,Blind & Deaf Schools,45622574.28,45622574.28,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,45622575.00,0.00,0.00,2023
1581009.11,45073588.00,Department of Education,1447,EarlyLearn Leases,52207686.51,53788695.62,ENERGY AND LEASES - OTPS,0.00,RENTALS - LAND BLDGS & STRUCTS,45073588.00,0.00,0.00,2023
0.00,45000000.00,Department of Education,1104,REDUCE FARE SUBSIDY (MTA),45000000.00,45000000.00,PUPIL TRANSPORTATION - OTPS,0.00,NYC TRNST AUTH RED FR SCHL CHD,45000000.00,0.00,0.00,2023
0.00,44968390.00,Department of Education,4648,GE Central Managed Sch Supp,16344460.68,16344460.68,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV OTHER,44988390.00,0.00,0.00,2023
